DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;FECHA_CORTE;PLACA;IMPOSICION;CODIGO;SALDO;COD;CARGO;VIA;PAGADO
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1H-154;20220101;G.28;0;196066;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;2401-BT;20220101;G.57;0;9342394;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;ALM-866;20220101;G.13;368;196474;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;LGU-618;20220101;L.07;184;192245;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;2583-PB;20220101;L.01;184;196475;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;A0A-601;20220101;M.03;2300;178299;2300;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;3161-GM;20220101;G.58;368;196439;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1O-422;20220101;M.02;2300;138180;2300;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1O-422;20220101;G.58;368;138180;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;1593-5H;20220101;M.01;4600;196198;4600;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;A0M-338;20220102;G.57;368;196462;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;BCI-190;20220102;G.47;0;136130;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;BFS-606;20220102;L.01;184;196471;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;T3W-601;20220102;L.07;0;133179;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;P3J-316;20220102;G.17;0;9327452;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;T9U-954;20220102;G.04;0;196090;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;ANW-453;20220102;G.18;0;196058;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;F3N-158;20220102;G.18;368;196476;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;BWH-354;20220102;M.17;552;196459;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;D3J-146;20220102;L.07;0;196056;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;D9A-792;20220102;G.18;0;196125;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2N-047;20220102;M.17;552;196479;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;BEC-477;20220102;L.01;184;196466;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;T2I-582;20220102;M.03;2300;196452;2300;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;AWV-004;20220102;M.03;2300;196089;2300;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2I-559;20220102;L.01;0;138977;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;T3F-377;20220102;M.40;1625.9;9333008;1625.9;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1O-454;20220102;L.07;0;196072;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H3A-923;20220102;G.30;0;161913;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1N-296;20220102;M.02;0;94318;2300;ORD;2308.3
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1N-296;20220102;M.40;1425.9;94318;1425.9;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2B-174;20220102;M.02;2300;145464;2300;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H3B-901;20220102;G.30;368;193613;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;TAL-880;20220102;G.47;368;196481;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;F7L-832;20220102;G.57;0;196102;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;D5N-025;20220102;M.19;552;110091;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;9612-FS;20220102;M.02;2300;196274;2300;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;D5N-025;20220102;G.18;368;110091;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;2016-1H;20220102;L.01;184;196472;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;M2Q-725;20220102;M.16;552;196457;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;B7O-313;20220102;G.57;368;196461;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;C6Q-930;20220102;M.02;0;122553;2300;ORD;2324.9
ANCASH;SANTA;CHIMBOTE;021801;20221229;6255-EA;20220102;G.59;368;196454;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;C6Q-930;20220102;M.04;4600;122553;4600;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;D5Z-099;20220102;M.17;552;196465;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;AZ-7971;20220102;G.54;0;196042;368;ORD;67.16
ANCASH;SANTA;CHIMBOTE;021801;20221229;B3U-262;20220102;G.57;368;196458;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;D5J-445;20220102;G.06;368;196456;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;AJS-519;20220102;G.57;0;196238;368;ORD;121.44
ANCASH;SANTA;CHIMBOTE;021801;20221229;BJC-698;20220102;G.04;368;196464;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;ASZ-392;20220102;L.07;184;63928;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;BJJ-421;20220102;G.06;368;196468;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;M3E-215;20220103;L.01;0;196041;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;M1G-566;20220103;L.04;0;173445;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2X-821;20220103;G.47;0;138201;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;BWA-038;20220103;G.04;368;196436;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;T5G-095;20220103;G.04;0;196156;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;C6Y-898;20220103;G.20;0;188681;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;ARK-313;20220103;G.04;368;174443;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;T9L-942;20220103;L.01;184;179135;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;1287-HP;20220103;L.01;184;190158;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;C9I-912;20220103;L.01;0;91598;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2G-620;20220103;L.01;0;194486;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;M5E-002;20220103;L.07;0;196043;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;5770-1H;20220103;G.57;0;184448;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;P3R-769;20220103;G.57;0;196046;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2Z-903;20220103;L.07;184;70905;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;B7B-404;20220103;L.07;0;196108;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;AXF-486;20220103;L.07;0;128939;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;T2P-790;20220103;G.47;0;179346;368;ORD;121.44
ANCASH;SANTA;CHIMBOTE;021801;20221229;D1Y-957;20220103;L.07;0;99350;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;AAC-207;20220103;G.04;0;196092;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;BMP-138;20220103;L.07;184;192186;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;D3K-324;20220103;G.28;368;196438;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;BLN-565;20220103;G.47;0;196048;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2J-822;20220103;G.28;0;183311;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;BLN-565;20220103;L.07;0;196048;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;F8U-764;20220103;L.07;184;9338964;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;M2Y-411;20220103;M.17;552;196164;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;B8U-958;20220103;L.07;0;196142;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;F6I-524;20220103;L.07;0;196104;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;A1X-583;20220103;G.04;368;196435;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;C0B-224;20220103;L.07;0;139146;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;BPC-009;20220103;G.01;0;196106;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;T9S-816;20220103;L.07;184;196443;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;1962-4H;20220103;M.02;0;196117;2300;ORD;2346
ANCASH;SANTA;CHIMBOTE;021801;20221229;AWO-736;20220103;L.07;184;198203;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;3024-HB;20220103;M.02;0;117980;2300;ORD;2323
ANCASH;SANTA;CHIMBOTE;021801;20221229;3024-HB;20220103;M.03;2300;117980;2300;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1O-489;20220103;L.01;0;123241;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;T5K-870;20220103;L.01;0;9322118;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;T5Q-070;20220103;L.01;0;196101;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2F-444;20220103;M.17;0;119955;552;ORD;552
ANCASH;SANTA;CHIMBOTE;021801;20221229;D0N-752;20220104;M.27;0;108453;2300;ORD;2308.3
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1Q-093;20220104;L.07;0;138874;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1G-438;20220104;G.28;368;144642;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;B0G-507;20220104;G.47;0;106098;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;BCI-786;20220104;M.19;552;196422;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;T5P-432;20220104;M.40;2325.9;161571;2325.9;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;Y1D-184;20220104;M.03;2300;139676;2300;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;Y1D-184;20220104;M.28;552;139676;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;BJO-253;20220104;G.18;0;188295;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;BKF-014;20220104;G.18;0;132134;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1Q-930;20220104;L.07;184;161811;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;BMU-489;20220104;G.18;0;192383;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;BJI-508;20220104;L.01;184;120675;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;AEH-311;20220104;M.17;552;196419;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;3446-3H;20220104;L.07;0;149916;184;ORD;60.72
ANCASH;SANTA;CHIMBOTE;021801;20221229;C3V-925;20220104;G.28;0;153316;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;B9B-407;20220104;L.04;0;81537;184;ORD;184
ANCASH;SANTA;CHIMBOTE;021801;20221229;BFW-468;20220104;L.07;184;196417;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1G-438;20220104;G.57;368;144642;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;M1Z-531;20220104;L.07;184;196411;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;3186-5H;20220104;G.59;368;196412;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;A2Z-278;20220104;G.31;368;196295;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;B2D-196;20220104;L.07;184;9336787;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;W2N-573;20220104;G.18;0;178179;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;C8U-837;20220104;G.28;368;196424;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;T3J-679;20220104;M.40;3425.9;196432;3425.9;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2I-238;20220104;G.18;0;146181;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2U-853;20220104;L.07;0;9318197;184;ORD;60.72
ANCASH;SANTA;CHIMBOTE;021801;20221229;F6V-838;20220104;G.13;0;196063;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;ALZ-535;20220104;G.57;0;194866;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;T2Q-201;20220104;G.40;368;196421;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2C-162;20220104;L.07;0;105237;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1N-175;20220104;L.07;0;196157;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;P1R-751;20220104;M.17;552;191587;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;T2D-185;20220104;G.13;0;120268;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;T0O-815;20220104;L.07;184;184360;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;D8X-862;20220104;G.60;368;129850;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;F9F-775;20220104;M.17;552;196427;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;T7N-895;20220104;G.18;0;190924;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;D4U-560;20220104;M.05;2300;171118;2300;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;BXX-534;20220104;M.17;552;196429;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;D5U-501;20220104;G.28;0;100706;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;9512-JB;20220104;G.58;0;193904;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;V6O-829;20220104;G.28;368;106889;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;T0Z-940;20220104;G.18;368;184048;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;T0Z-940;20220104;G.58;368;184048;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;0291-2H;20220104;L.01;0;128689;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1K-249;20220104;M.40;1425.9;87564;1425.9;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;AWU-543;20220104;G.18;368;196420;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;BBX-846;20220104;L.01;184;196415;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1L-962;20220104;G.40;0;174266;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;BRJ-355;20220104;L.07;0;155066;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;T4C-497;20220104;G.18;368;160133;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;D6F-068;20220104;G.57;368;196430;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;T4C-497;20220104;G.28;368;160133;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;B9I-649;20220104;L.07;0;138115;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1Q-844;20220105;G.47;0;129821;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;ATX-826;20220105;L.01;0;70129;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;ACD-268;20220105;L.07;0;109958;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2P-937;20220105;L.07;0;78611;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H3N-643;20220105;G.04;0;104184;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;1141-4H;20220105;L.01;0;196161;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1Z-422;20220105;L.07;184;9315004;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;1738-6T;20220105;L.07;184;9345349;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;ATJ-282;20220105;L.07;0;196225;184;ORD;60.72
ANCASH;SANTA;CHIMBOTE;021801;20221229;BWL-299;20220105;G.04;0;172034;368;ORD;121.44
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2U-678;20220105;L.07;0;91330;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;F8K-941;20220105;L.01;0;82116;184;ORD;60.72
ANCASH;SANTA;CHIMBOTE;021801;20221229;M1U-603;20220105;G.57;368;153564;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;BDB-475;20220105;L.01;0;143446;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;BEM-858;20220105;L.01;0;133009;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1Y-138;20220105;G.47;368;196524;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;5489-3C;20220105;L.01;0;136835;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;4853-AA;20220105;L.06;0;151449;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;BMQ-887;20220105;L.01;0;196134;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2B-468;20220105;L.01;0;196097;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2B-468;20220105;L.01;184;196097;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;BNM-276;20220105;G.18;0;179761;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;T9Q-880;20220105;G.47;368;195420;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;AXO-167;20220105;L.01;0;196163;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;T2P-700;20220105;G.14;368;187626;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;0800-5H;20220105;L.01;0;196082;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;A4H-316;20220105;G.28;368;134501;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;AYJ-217;20220105;G.57;0;196080;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;V4Y-811;20220105;L.01;0;170707;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;BKF-828;20220105;G.28;368;176268;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;TBF-889;20220105;G.28;368;196523;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;T4Z-815;20220105;L.07;184;196525;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1T-298;20220105;L.07;0;801;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2A-782;20220105;L.01;0;190430;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;D9X-395;20220105;L.01;0;115750;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;T1Z-537;20220105;G.57;0;196217;368;ORD;121.44
ANCASH;SANTA;CHIMBOTE;021801;20221229;B9M-597;20220105;M.17;552;196520;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;B9M-597;20220105;M.18;552;196520;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;B9M-597;20220105;G.25;368;196520;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;A7Z-092;20220105;G.57;0;196143;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;BEE-933;20220105;L.07;0;182871;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2C-875;20220105;G.47;0;156762;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1B-845;20220105;L.07;0;77416;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;M6L-799;20220105;L.01;0;118323;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;C7P-768;20220105;G.18;368;147168;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1I-072;20220105;L.01;0;61569;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;AVV-843;20220105;M.16;552;196526;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;BSA-564;20220105;L.06;184;196224;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2I-138;20220105;G.57;0;177180;368;ORD;368
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2I-138;20220105;G.28;0;177180;368;ORD;121.44
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1A-743;20220105;L.01;0;192298;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2B-641;20220105;G.57;0;196137;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;BNH-219;20220105;G.57;0;9323311;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;F9K-867;20220105;L.01;0;196073;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;D7L-889;20220106;L.07;0;196153;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;C9E-926;20220106;G.58;0;196139;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;D0N-924;20220106;M.17;0;196387;552;ORD;552
ANCASH;SANTA;CHIMBOTE;021801;20221229;T2B-192;20220106;L.07;0;163648;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;A7T-307;20220106;L.01;0;133473;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;2672-IB;20220106;L.07;184;9344920;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;T1X-370;20220106;G.38;368;135989;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;T9Q-964;20220106;M.17;552;196144;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;C9Y-420;20220106;M.03;0;9326479;2300;ORD;2349.8
ANCASH;SANTA;CHIMBOTE;021801;20221229;A3P-846;20220106;G.04;368;196536;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2O-835;20220106;L.01;0;76836;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1M-883;20220106;L.07;0;98976;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H3C-845;20220106;L.07;184;156806;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;A8W-108;20220106;G.25;368;190168;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;C3U-642;20220106;M.17;552;9314654;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;T5J-815;20220106;M.17;552;196114;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1P-112;20220106;G.57;368;191244;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;C8B-375;20220106;G.57;368;196540;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;8965-GP;20220106;G.57;0;9345482;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1Y-208;20220106;L.07;0;155763;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;V9D-934;20220106;L.07;0;121880;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1G-314;20220106;L.07;0;167402;184;ORD;60.72
ANCASH;SANTA;CHIMBOTE;021801;20221229;4297-3H;20220106;L.07;184;195280;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;ARA-191;20220106;G.18;0;157861;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;1029-5H;20220106;L.01;184;9345331;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1A-834;20220106;G.18;0;120877;368;ORD;121.44
ANCASH;SANTA;CHIMBOTE;021801;20221229;B4N-787;20220106;M.17;552;196535;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;B4N-787;20220106;G.58;368;196535;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;T0M-931;20220106;M.17;552;196541;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;0893-DP;20220106;L.01;0;196297;184;ORD;60.72
ANCASH;SANTA;CHIMBOTE;021801;20221229;T6G-946;20220106;G.14;368;161024;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2E-558;20220106;G.28;368;196542;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;AMA-709;20220106;L.07;184;196537;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;BAY-229;20220106;M.03;0;192743;2300;ORD;2341.5
ANCASH;SANTA;CHIMBOTE;021801;20221229;H2U-883;20220106;M.17;552;185264;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;T9C-829;20220106;G.57;0;196107;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;F7J-453;20220106;G.17;0;196109;368;ORD;62.56
ANCASH;SANTA;CHIMBOTE;021801;20221229;F9R-875;20220106;L.07;0;117113;184;ORD;31.28
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1N-337;20220106;M.28;552;184918;552;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1L-341;20220106;L.07;184;196539;184;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1N-377;20220106;G.58;368;184918;368;ORD;0
ANCASH;SANTA;CHIMBOTE;021801;20221229;H1X-186;20220106;L.01;0;153085;184;ORD;31.28
